Ticker;Name;Type;Sector;Sub Sector;Segment
LUPA3;Lupatech;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Equipamentos e serviços
PLAS3;Plascar Part;Ação;Consumo cíclico;Automóveis e motocicletas;Automóveis e motocicletas
BALM4;Baumer;Ação;Saúde;Equipamentos;Equipamentos
CTKA4;Karsten;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
ATOM3;Atompar;Ação;Outros;Outros;Outros
RSID3;Rossi Resid;Ação;Consumo cíclico;Construção civil;Incorporações
IGBR3;IGB S/A;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
RSUL4;Riosulense;Ação;Bens industriais;Material de transporte;Material rodoviário
AZEV3;Azevedo;Ação;Bens industriais;Construção e engenharia;Construção pesada
AZEV4;Azevedo;Ação;Bens industriais;Construção e engenharia;Construção pesada
BBRK3;BR Brokers;Ação;Financeiro;Exploração de imóveis;Intermediação imobiliária
MNDL3;Mundial;Ação;Consumo cíclico;Tecidos vestuário e calçados;Acessórios
MGEL4;Mangels Indl;Ação;Materiais básicos;Siderurgia e metalurgia;Artefatos de ferro e aço
BMIN3;Merc Invest;Ação;Financeiro;Intermediários financeiros;Bancos
BMIN4;Merc Invest;Ação;Financeiro;Intermediários financeiros;Bancos
MNPR3;Minupar;Ação;Consumo não cíclico;Alimentos processados;Carnes e derivados
CEDO4;Cedro;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
GSHP3;Generalshopp;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
SNSY5;Sansuy;Ação;Materiais básicos;Materiais diversos;Materiais diversos
PDGR3;PDG Realt;Ação;Consumo cíclico;Construção civil;Incorporações
SLED3;Saraiva Livr;Ação;Consumo cíclico;Comércio;Produtos diversos
SLED4;Saraiva Livr;Ação;Consumo cíclico;Comércio;Produtos diversos
HAGA3;Haga S/A;Ação;Bens industriais;Construção e engenharia;Produtos para construção
HAGA4;Haga S/A;Ação;Bens industriais;Construção e engenharia;Produtos para construção
OSXB3;OSX Brasil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Equipamentos e serviços
JBDU3;J B Duarte;Ação;Outros;Outros;Outros
JBDU4;J B Duarte;Ação;Outros;Outros;Outros
FRTA3;Pomifrutas;Ação;Consumo não cíclico;Agropecuária;Agricultura
KNIP11;FII Kinea Ip;FII;-;-;TVM
KNCR11;FII Kinea Ri;FII;-;-;TVM
KNRI11;FII Kinea;FII;-;-;Híbrido
HGLG11;FII CSHG Log;FII;-;-;Logística
XPLG11;FII Xp Log;FII;-;-;Logistica
IRDM11;FII Iridium;FII;-;-;TVM
CPTS11;FII Capi Sec;FII;-;-;TVM
MXRF11;FII Maxi Ren;FII;-;-;TVM
HFOF11;FII Htopfof3;FII;-;-;TVM
BCFF11;FII Bc Ffii;FII;-;-;TVM
BRCR11;FII Bc Fund;FII;-;-;Híbrido
HGRU11;FII CSHG Urb;FII;-;-;Híbrido
HGBS11;FII Hedgebs;FII;-;-;Shoppings
XPML11;FII Xp Malls;FII;-;-;Shoppings
HCTR11;FII Hectare;FII;-;-;#N/D
JSRE11;FII Js Real;FII;-;-;Híbrido
RECR11;FII Rec Rece;FII;-;-;TVM
BBPO11;FII BB Prgii;FII;-;-;Híbrido
VILG11;FII Vincilog;FII;-;-;#N/D
BTLG11;FII Btlg;FII;-;-;Logística
BRCO11;FII Bresco;FII;-;-;Lajes Corporativas
VISC11;FII Vinci Sc;FII;-;-;Híbrido
HGRE11;FII HG Real;FII;-;-;Lajes Corporativas
TGAR11;FII Tg Ativo;FII;-;-;Híbrido
HSML11;FII Hsi Mall;FII;-;-;#N/D
HSLG11;FII Hsi Log;FII;-;-;#N/D
HGCR11;FII CSHG Cri;FII;-;-;TVM
