Ticker;Name;Country;Type;Sector;Sub Sector;Segment
MTSA4;Metisa;Brazil;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. construção e agrícolas
RNEW4;Renova;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
RNEW11;Renova;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
MERC4;Merc Financ;Brazil;Ação;Financeiro;Intermediários financeiros;Soc. crédito e financiamento
PTNT3;Pettenati;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
PTNT4;Pettenati;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
PRNR3;Priner;Brazil;Ação;Bens industriais;Serviços diversos;Serviços diversos
RPMG3;Pet Manguinh;Brazil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
BTTL3;Battistella;Brazil;Ação;Bens industriais;Comércio;Material de transporte
CTNM3;Coteminas;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
CTNM4;Coteminas;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
RCSL3;Recrusul;Brazil;Ação;Bens industriais;Material de transporte;Material rodoviário
RCSL4;Recrusul;Brazil;Ação;Bens industriais;Material de transporte;Material rodoviário
LLIS3;Le Lis Blanc;Brazil;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
DMMO3;Dommo;Brazil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
CTSA3;Santanense;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
CTSA4;Santanense;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
CAMB3;Cambuci;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Calçados
ATMP3;Atmasa;Brazil;Ação;Bens industriais;Serviços diversos;Serviços diversos
EALT4;Aco Altona;Brazil;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
LUPA3;Lupatech;Brazil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Equipamentos e serviços
PLAS3;Plascar Part;Brazil;Ação;Consumo cíclico;Automóveis e motocicletas;Automóveis e motocicletas
BALM4;Baumer;Brazil;Ação;Saúde;Equipamentos;Equipamentos
CTKA4;Karsten;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
ATOM3;Atompar;Brazil;Ação;Outros;Outros;Outros
RSID3;Rossi Resid;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
IGBR3;IGB S/A;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
RSUL4;Riosulense;Brazil;Ação;Bens industriais;Material de transporte;Material rodoviário
AZEV3;Azevedo;Brazil;Ação;Bens industriais;Construção e engenharia;Construção pesada
AZEV4;Azevedo;Brazil;Ação;Bens industriais;Construção e engenharia;Construção pesada
BBRK3;BR Brokers;Brazil;Ação;Financeiro;Exploração de imóveis;Intermediação imobiliária
MNDL3;Mundial;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Acessórios
MGEL4;Mangels Indl;Brazil;Ação;Materiais básicos;Siderurgia e metalurgia;Artefatos de ferro e aço
BMIN3;Merc Invest;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
BMIN4;Merc Invest;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
MNPR3;Minupar;Brazil;Ação;Consumo não cíclico;Alimentos processados;Carnes e derivados
CEDO4;Cedro;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
GSHP3;Generalshopp;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
SNSY5;Sansuy;Brazil;Ação;Materiais básicos;Materiais diversos;Materiais diversos
PDGR3;PDG Realt;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
SLED3;Saraiva Livr;Brazil;Ação;Consumo cíclico;Comércio;Produtos diversos
SLED4;Saraiva Livr;Brazil;Ação;Consumo cíclico;Comércio;Produtos diversos
HAGA3;Haga S/A;Brazil;Ação;Bens industriais;Construção e engenharia;Produtos para construção
HAGA4;Haga S/A;Brazil;Ação;Bens industriais;Construção e engenharia;Produtos para construção
OSXB3;OSX Brasil;Brazil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Equipamentos e serviços
JBDU3;J B Duarte;Brazil;Ação;Outros;Outros;Outros
JBDU4;J B Duarte;Brazil;Ação;Outros;Outros;Outros
FRTA3;Pomifrutas;Brazil;Ação;Consumo não cíclico;Agropecuária;Agricultura
KNIP11;FII Kinea Ip;Brazil;FII;-;-;TVM
