Ticker;Name;Country;Type;Sector;Sub Sector;Segment
AIM;AIM ImmunoTech Inc. Common Stock;United States;;Health Care;;Biotechnology: Biological Products (No Diagnostic Substances)
AIMC;Altra Industrial Motion Corp. Common Stock;United States;;Capital Goods;;Industrial Machinery/Components
AIN;Albany International Corporation Common Stock;United States;;Basic Industries;;Textiles
AINC;Ashford Inc. (Holding Company) Common Stock;United States;;Consumer Services;;Professional Services
AINV;Apollo Investment Corporation Common Stock;United States;;Finance;;Finance/Investors Services
AIO;Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares;;;;;
AIR;AAR Corp. Common Stock;United States;;Capital Goods;;Aerospace
AIRC;Apartment Income REIT Corp. Common Stock;;;Consumer Services;;Real Estate Investment Trusts
AIRG;Airgain Inc. Common Stock;United States;;Technology;;Radio And Television Broadcasting And Communications Equipment
AIRI;Air Industries Group Common Stock;United States;;Capital Goods;;Military/Government/Technical
AIRT;Air T Inc. Common Stock;United States;;Transportation;;Air Freight/Delivery Services
AIRTP;Air T Inc. Air T Funding Alpha Income Trust Preferred Securities;United States;;Transportation;;Air Freight/Delivery Services
AIRTW;Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 08/30/2021;United States;;Transportation;;Air Freight/Delivery Services
AIT;Applied Industrial Technologies Inc. Common Stock;United States;;Capital Goods;;Industrial Machinery/Components
AIV;Apartment Investment and Management Company Common Stock;United States;;Consumer Services;;Real Estate Investment Trusts
AIW;Arlington Asset Investment Corp 6.625% Notes due 2023;United States;;Consumer Services;;Real Estate Investment Trusts
AIZ;Assurant Inc. Common Stock;United States;;Finance;;Specialty Insurers
AIZN;Assurant Inc. 5.25% Subordinated Notes due 2061;United States;;Finance;;Accident &Health Insurance
AJAX;Ajax I Class A Ordinary Shares;United States;;Finance;;Business Services
AJG;Arthur J. Gallagher & Co. Common Stock;United States;;Finance;;Specialty Insurers
AJRD;Aerojet Rocketdyne Holdings Inc. Common Stock;United States;;Capital Goods;;Military/Government/Technical
AJX;Great Ajax Corp. Common Stock;United States;;Consumer Services;;Real Estate Investment Trusts
AJXA;Great Ajax Corp. 7.25% Convertible Senior Notes due 2024;United States;;Consumer Services;;Real Estate Investment Trusts
AKAM;Akamai Technologies Inc. Common Stock;United States;;Miscellaneous;;Business Services
AKBA;Akebia Therapeutics Inc. Common Stock;United States;;Health Care;;Major Pharmaceuticals
AKIC;Sports Ventures Acquisition Corp. Class A Ordinary Shares;United States;;Finance;;Business Services
